Date,Close
1999-03-10,43.417
1999-03-11,43.63
1999-03-12,42.567
1999-03-15,43.789
1999-03-16,44.161
1999-03-17,43.842
1999-03-18,44.693
1999-03-19,43.55
1999-03-22,43.019
1999-03-23,41.504
1999-03-24,42.912
1999-03-25,44.48
1999-03-26,44.002
1999-03-29,45.596
1999-03-30,45.277
1999-03-31,44.613
1999-04-01,45.543
1999-04-05,47.19
1999-04-06,47.283
1999-04-07,46.792
1999-04-08,47.164
1999-04-09,47.456
1999-04-12,47.137
1999-04-13,46.5
1999-04-14,44.905
1999-04-15,45.516
1999-04-16,44.188
1999-04-19,42.115
1999-04-20,43.072
1999-04-21,45.198
1999-04-22,46.42
1999-04-23,47.031
1999-04-26,48.114
1999-04-27,47.376
1999-04-28,45.756
1999-04-29,45.384
1999-04-30,45.676
1999-05-03,45.437
1999-05-04,44.719
1999-05-05,46.074
1999-05-06,44.4
1999-05-07,45.038
1999-05-10,45.49
1999-05-11,46.207
1999-05-12,47.164
1999-05-13,46.287
1999-05-14,45.41
1999-05-17,46.227
1999-05-18,46.021
1999-05-19,46.659
1999-05-20,45.377
1999-05-21,44.958
1999-05-24,43.816
1999-05-25,42.381
1999-05-26,43.563
1999-05-27,43.524
1999-05-28,44.241
1999-06-01,43.258
1999-06-02,43.989
1999-06-03,43.364
1999-06-04,44.693
1999-06-07,45.623
1999-06-08,44.48
1999-06-09,45.224
1999-06-10,44.706
1999-06-11,44.028
1999-06-14,43.198
1999-06-15,43.842
1999-06-16,46.094
1999-06-17,46.606
1999-06-18,46.818
1999-06-21,48.22
1999-06-22,46.765
1999-06-23,47.503
1999-06-24,46.559
1999-06-25,46.5
1999-06-28,47.602
1999-06-29,48.253
1999-06-30,48.997
1999-07-01,49.329
1999-07-02,49.954
1999-07-06,49.635
1999-07-07,49.715
1999-07-08,50.379
1999-07-09,50.884
1999-07-12,50.618
1999-07-13,50.379
1999-07-14,51.236
1999-07-15,51.707
1999-07-16,52.186
1999-07-19,51.654
1999-07-20,49.662
1999-07-21,49.901
1999-07-22,48.632
1999-07-23,48.705
1999-07-26,47.509
1999-07-27,48.466
1999-07-28,49.416
1999-07-29,48.36
1999-07-30,48.12
1999-08-02,47.988
1999-08-03,47.675
1999-08-04,46.812
1999-08-05,47.556
1999-08-06,47.044
1999-08-09,46.44
1999-08-10,46.021
1999-08-11,47.536
1999-08-12,46.978
1999-08-13,49.024
1999-08-16,49.416
1999-08-17,49.662
1999-08-18,49.104
1999-08-19,48.519
1999-08-20,49.289
1999-08-23,50.857
1999-08-24,51.203
1999-08-25,52.292
1999-08-26,51.422
1999-08-27,50.91
1999-08-30,50.193
1999-08-31,50.751
1999-09-01,51.116
1999-09-02,50.937
1999-09-03,53.275
1999-09-07,53.036
1999-09-08,52.319
1999-09-09,53.063
1999-09-10,53.674
1999-09-13,53.029
1999-09-14,53.322
1999-09-15,52.292
1999-09-16,52.265
1999-09-17,53.833
1999-09-20,53.959
1999-09-21,52.664
1999-09-22,53.222
1999-09-23,51.017
1999-09-24,51.083
1999-09-27,51.442
1999-09-28,51.681
1999-09-29,50.645
1999-09-30,51.176
1999-10-01,51.196
1999-10-04,52.345
1999-10-05,52.717
1999-10-06,53.773
1999-10-07,53.647
1999-10-08,54.212
1999-10-11,54.976
1999-10-12,53.727
1999-10-13,52.133
1999-10-14,52.458
1999-10-15,50.91
1999-10-18,50.266
1999-10-19,50.538
1999-10-20,52.079
1999-10-21,52.93
1999-10-22,52.691
1999-10-25,52.717
1999-10-26,52.292
1999-10-27,52.212
1999-10-28,54.019
1999-10-29,55.906
1999-11-01,55.613
1999-11-02,55.647
1999-11-03,56.756
1999-11-04,57.394
1999-11-05,57.978
1999-11-08,59.147
1999-11-09,58.749
1999-11-10,59.519
1999-11-11,60.582
1999-11-12,61.379
1999-11-15,61.26
1999-11-16,62.814
1999-11-17,61.964
1999-11-18,63.864
1999-11-19,64.435
1999-11-22,63.452
1999-11-23,63.744
1999-11-24,65.843
1999-11-26,66.056
1999-11-29,64.966
1999-11-30,62.495
1999-12-01,63.851
1999-12-02,65.877
1999-12-03,67.278
1999-12-06,67.889
1999-12-07,67.889
1999-12-08,67.066
1999-12-09,67.384
1999-12-10,67.942
1999-12-13,68.866
1999-12-14,67.624
