Date,Close
2007-04-10,43.974
2007-04-11,43.858
2007-04-12,43.852
2007-04-13,43.782
2007-04-16,43.822
2007-04-17,43.934
2007-04-18,44.015
2007-04-19,43.998
2007-04-20,43.986
2007-04-23,44.045
2007-04-24,44.115
2007-04-25,44.08
2007-04-26,43.986
2007-04-27,43.974
2007-04-30,44.121
2007-05-01,44.095
2007-05-02,44.101
2007-05-03,44.072
2007-05-04,44.107
2007-05-07,44.136
2007-05-08,44.142
2007-05-09,44.09
2007-05-10,44.13
2007-05-11,44.072
2007-05-14,44.043
2007-05-15,44.025
2007-05-16,44.043
2007-05-17,43.978
2007-05-18,43.873
2007-05-21,43.931
2007-05-22,43.861
2007-05-23,43.826
2007-05-24,43.82
2007-05-25,43.826
2007-05-29,43.768
2007-05-30,43.809
2007-05-31,43.773
2007-06-01,43.672
2007-06-04,43.719
2007-06-05,43.649
2007-06-06,43.69
2007-06-07,43.384
2007-06-08,43.379
2007-06-11,43.332
2007-06-12,43.12
2007-06-13,43.22
2007-06-14,43.161
2007-06-15,43.379
2007-06-18,43.332
2007-06-19,43.537
2007-06-20,43.326
2007-06-21,43.349
2007-06-22,43.414
2007-06-25,43.531
2007-06-26,43.514
2007-06-27,43.549
2007-06-28,43.49
2007-06-29,43.637
2007-07-02,43.745
2007-07-03,43.656
2007-07-05,43.48
2007-07-06,43.391
2007-07-09,43.438
2007-07-10,43.662
2007-07-11,43.556
2007-07-12,43.497
2007-07-13,43.568
2007-07-16,43.686
2007-07-17,43.633
2007-07-18,43.704
2007-07-19,43.686
2007-07-20,43.81
2007-07-23,43.798
2007-07-24,43.816
2007-07-25,43.857
2007-07-26,44.028
2007-07-27,43.992
2007-07-30,43.951
2007-07-31,44.04
2007-08-01,44.018
2007-08-02,44.095
2007-08-03,44.243
2007-08-06,44.119
2007-08-07,44.143
2007-08-08,44.001
2007-08-09,44.101
2007-08-10,44.018
2007-08-13,44.06
2007-08-14,44.166
2007-08-15,44.172
2007-08-16,44.166
2007-08-17,44.302
2007-08-20,44.208
2007-08-21,44.361
2007-08-22,44.361
2007-08-23,44.361
2007-08-24,44.403
2007-08-27,44.563
2007-08-28,44.687
2007-08-29,44.586
2007-08-30,44.663
2007-08-31,44.693
2007-09-04,44.666
2007-09-05,44.838
2007-09-06,44.755
2007-09-07,45.034
2007-09-10,45.165
2007-09-11,45.058
2007-09-12,44.986
2007-09-13,44.873
2007-09-14,44.879
2007-09-17,44.915
2007-09-18,45.04
2007-09-19,44.968
2007-09-20,44.648
2007-09-21,44.838
2007-09-24,44.808
2007-09-25,44.838
2007-09-26,44.85
2007-09-27,44.945
2007-09-28,44.963
2007-10-01,44.935
2007-10-02,45.096
2007-10-03,45.072
2007-10-04,45.119
2007-10-05,44.929
2007-10-08,45.06
2007-10-09,44.911
2007-10-10,44.958
2007-10-11,45.0
2007-10-12,44.929
2007-10-15,44.893
2007-10-16,44.988
2007-10-17,45.215
2007-10-18,45.274
2007-10-19,45.489
2007-10-22,45.459
2007-10-23,45.447
2007-10-24,45.626
2007-10-25,45.59
2007-10-26,45.525
2007-10-29,45.531
2007-10-30,45.543
2007-10-31,45.376
2007-11-01,45.636
2007-11-02,45.69
2007-11-05,45.558
2007-11-06,45.486
2007-11-07,45.552
2007-11-08,45.606
2007-11-09,45.666
2007-11-12,45.768
2007-11-13,45.63
2007-11-14,45.63
2007-11-15,45.792
2007-11-16,45.774
2007-11-19,45.905
2007-11-20,45.804
2007-11-21,46.085
2007-11-23,45.995
2007-11-26,46.354
2007-11-27,46.109
2007-11-28,46.061
2007-11-29,46.265
2007-11-30,46.265
2007-12-03,46.491
2007-12-04,46.467
2007-12-05,46.365
2007-12-06,46.124
2007-12-07,45.974
2007-12-10,45.89
2007-12-11,46.197
2007-12-12,46.106
2007-12-13,45.872
2007-12-14,45.77
2007-12-17,45.962
2007-12-18,46.07
2007-12-19,46.263
2007-12-20,46.269
2007-12-21,45.962
2007-12-24,45.987
2007-12-26,45.848
2007-12-27,46.029
2007-12-28,46.258
2007-12-31,46.656
2008-01-02,46.644
2008-01-03,46.705
2008-01-04,46.759
2008-01-07,46.771
2008-01-08,46.819
2008-01-09,46.765
2008-01-10,46.747
2008-01-11,46.891
2008-01-14,46.952
2008-01-15,47.121
2008-01-16,47.03
2008-01-17,47.223
2008-01-18,47.199
2008-01-22,47.494
2008-01-23,47.416
2008-01-24,47.108
2008-01-25,47.422
2008-01-28,47.253
2008-01-29,47.187
2008-01-30,47.205
2008-01-31,47.241
2008-02-01,47.399
2008-02-04,47.229
2008-02-05,47.356
2008-02-06,47.259
2008-02-07,46.969
2008-02-08,47.108
2008-02-11,47.211
2008-02-12,47.132
2008-02-13,46.878
2008-02-14,46.66
2008-02-15,46.733
2008-02-19,46.303
2008-02-20,46.339
2008-02-21,46.727
2008-02-22,46.612
2008-02-25,46.382
2008-02-26,46.557
2008-02-27,46.642
2008-02-28,46.987
2008-02-29,47.284
2008-03-03,47.169
2008-03-04,46.944
2008-03-05,46.64
2008-03-06,46.604
2008-03-07,46.731
2008-03-10,46.871
2008-03-11,46.604
2008-03-12,47.035
2008-03-13,46.828
2008-03-14,47.029
2008-03-17,47.187
2008-03-18,47.229
2008-03-19,47.266
2008-03-20,47.393
2008-03-24,47.132
2008-03-25,47.223
2008-03-26,47.266
2008-03-27,47.272
2008-03-28,47.308
2008-03-31,47.472
2008-04-01,46.979
2008-04-02,46.918
2008-04-03,46.9
2008-04-04,47.333
2008-04-07,47.15
2008-04-08,47.174
2008-04-09,47.357
2008-04-10,47.217
2008-04-11,47.491
2008-04-14,47.333
2008-04-15,47.174
2008-04-16,46.924
2008-04-17,46.881
2008-04-18,46.918
2008-04-21,46.997
2008-04-22,47.101
2008-04-23,47.058
2008-04-24,46.857
2008-04-25,46.796
2008-04-28,46.961
2008-04-29,46.93
2008-04-30,47.308
2008-05-01,47.316
2008-05-02,47.199
2008-05-05,47.291
2008-05-06,47.12
2008-05-07,47.187
2008-05-08,47.42
2008-05-09,47.389
2008-05-12,47.34
2008-05-13,47.095
2008-05-14,47.126
2008-05-15,47.377
2008-05-16,47.285
2008-05-19,47.414
2008-05-20,47.395
2008-05-21,47.383
2008-05-22,47.193
2008-05-23,47.395
2008-05-27,47.132
2008-05-28,46.887
2008-05-29,46.808
2008-05-30,46.838
2008-06-02,47.067
2008-06-03,47.251
2008-06-04,47.024
2008-06-05,46.809
2008-06-06,47.048
2008-06-09,46.661
2008-06-10,46.397
2008-06-11,46.667
2008-06-12,46.157
2008-06-13,46.2
2008-06-16,46.243
2008-06-17,46.397
2008-06-18,46.551
2008-06-19,46.434
2008-06-20,46.526
2008-06-23,46.366
2008-06-24,46.563
2008-06-25,46.581
2008-06-26,46.581
2008-06-27,46.704
2008-06-30,46.858
2008-07-01,46.825
2008-07-02,46.664
2008-07-03,46.701
2008-07-07,46.726
2008-07-08,46.991
2008-07-09,46.997
2008-07-10,47.127
2008-07-11,46.831
2008-07-14,47.084
2008-07-15,47.127
2008-07-16,46.738
2008-07-17,46.522
2008-07-18,46.448
2008-07-21,46.547
2008-07-22,46.405
2008-07-23,46.424
2008-07-24,46.757
2008-07-25,46.461
2008-07-28,46.769
2008-07-29,46.695
2008-07-30,46.707
2008-07-31,46.868
2008-08-01,46.951
2008-08-04,46.864
2008-08-05,46.672
2008-08-06,46.61
2008-08-07,46.907
2008-08-08,46.889
2008-08-11,46.691
2008-08-12,46.901
2008-08-13,46.777
2008-08-14,46.895
2008-08-15,47.044
2008-08-18,47.168
2008-08-19,47.081
2008-08-20,47.186
2008-08-21,47.174
2008-08-22,47.075
2008-08-25,47.205
2008-08-26,47.267
2008-08-27,47.279
2008-08-28,47.322
2008-08-29,47.26
2008-09-02,47.415
2008-09-03,47.477
2008-09-04,47.502
2008-09-05,47.539
2008-09-08,47.875
